haskell-cookie 0.4.2.1-8
haskell-cryptohash 0.11.9-34
haskell-cryptohash-sha256 0.11.100.1-4
haskell-cryptonite 0.24-7
haskell-cryptonite-conduit 0.2.0-49
haskell-data-default 0.7.1.1-9
haskell-data-default-class 0.1.2.0-5
haskell-data-default-instances-containers 0.0.1-17
haskell-data-default-instances-dlist 0.0.1-22
haskell-data-default-instances-old-locale 0.0.1-17
haskell-digest 0.0.1.2-6
haskell-distributive 0.5.3-3
haskell-dlist 0.8.0.3-3
haskell-easy-file 0.2.1-5
haskell-echo 0.1.3-3
haskell-ed25519 0.0.5.0-5
haskell-either 4.5-1
haskell-errors 2.2.2-2
haskell-exceptions 0.8.3-4
haskell-extra 1.6-2
haskell-fast-logger 2.4.10-5
haskell-file-embed 0.0.10.1-2
haskell-filelock 0.1.1.2-3
haskell-foundation 0.0.16-1
haskell-free 4.12.4-38
haskell-fsnotify 0.2.1.1-3
haskell-generic-deriving 1.11.2-4
haskell-generics-sop 0.3.1.0-3
haskell-gitrev 1.3.1-3
haskell-glob 0.7.14-5
haskell-hackage-security 0.5.2.2-7
haskell-hashable 1.2.6.1-3
haskell-hashtables 1.2.2.1-1
haskell-hastache 0.6.1-12
haskell-hinotify 0.3.9-5
haskell-hit 0.6.3-52
haskell-hourglass 0.2.10-5
haskell-hpack 0.18.1-6
haskell-hspec 2.4.4-5
haskell-hspec-core 2.4.4-5
haskell-hspec-discover 2.4.4-3
haskell-hspec-expectations 0.8.2-5
haskell-hspec-smallcheck 0.4.2-15
haskell-http-api-data 0.3.7.1-17
haskell-http-client 0.5.7.0-6
haskell-http-client-tls 0.3.5.1-18
haskell-http-conduit 2.2.3.2-21
haskell-http-types 0.9.1-14
haskell-hunit 1.6.0.0-4
haskell-ieee754 0.8.0-4
haskell-integer-logarithms 1.0.2-3
haskell-lifted-async 0.9.3-5
haskell-lifted-base 0.2.3.11-7
haskell-logict 0.6.0.2-4
haskell-math-functions 0.2.1.0-5
haskell-memory 0.14.8-4
haskell-microlens 0.4.8.1-3
haskell-microlens-mtl 0.1.11.0-4
haskell-microlens-th 0.4.1.1-5
haskell-mime-types 0.1.0.7-6
haskell-mintty 0.1.1-3
haskell-mmorph 1.1.0-4
haskell-monad-control 1.0.2.2-3
haskell-monad-logger 0.3.25.1-4
haskell-monad-loops 0.4.3-6
haskell-monad-unlift 0.2.0-13
haskell-monadrandom 0.5.1-5
haskell-mono-traversable 1.0.2.1-3
haskell-mtl 2.2.1-9
haskell-mwc-random 0.13.6.0-4
haskell-network 2.6.3.2-4
haskell-network-uri 2.6.1.0-7
haskell-old-locale 1.0.0.7-11
haskell-old-time 1.1.0.3-11
haskell-open-browser 0.2.1.0-6
haskell-optparse-applicative 0.14.0.0-2
haskell-optparse-simple 0.0.3-62
haskell-parsec 3.1.11-6
haskell-path 0.6.1-11
haskell-path-io 1.3.3-7
haskell-path-pieces 0.2.1-9
haskell-patience 0.1.1-4
haskell-pem 0.2.2-7
haskell-persistent 2.7.0-10
haskell-persistent-sqlite 2.6.2-56
haskell-persistent-template 2.5.3-1
haskell-pid1 0.1.2.0-3
haskell-prelude-extras 0.4.0.3-5
haskell-primitive 0.6.2.0-4
haskell-profunctors 5.2.1-5
haskell-project-template 0.2.0-77
haskell-quickcheck 2.10.1-1
haskell-quickcheck-io 0.2.0-5
haskell-random 1.1-9
haskell-regex-applicative 0.3.3-5
haskell-regex-applicative-text 0.1.0.1-5
haskell-resource-pool 0.2.3.2-21
haskell-resourcet 1.1.9-10
haskell-retry 0.7.4.2-4
haskell-safe 0.3.15-3
haskell-safe-exceptions 0.1.6.0-3
haskell-scientific 0.3.5.2-2
haskell-semigroupoids 5.2.1-5
haskell-semigroups 0.18.3-5
haskell-setenv 0.1.1.3-6
haskell-sha 1.6.4.2-8
haskell-silently 1.2.5-6
haskell-smallcheck 1.1.2-3
haskell-socks 0.5.5-10
haskell-split 0.2.3.2-4
